13:42:08 MH:Number of processors on the system: 2
13:42:08 MH:Configured as RealTime Process!!!
13:42:08 MH:Opened UTM coords file

13:42:08 MH:USB DA initialisation complete!!!
13:42:08 MH:TCP/IP DA initialisation complete!!!
13:42:08 MH:Device Initialization complete!!!
13:42:08 MH:PHINS initialized and data consistent!!!
13:42:09 MH:Pressure sensor data consistent!!!
13:42:10 MH:FLS device level configuration done!!!
13:42:10 MH:Sensor initialisation and data check complete!!!
13:42:10 MH:Mission file opened succesfully
13:42:10 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
13:42:10 MH:Mission ready to be started!!!
13:42:38 CO:Mission Time: 30 Reference Depth: 150
13:43:56 MH:Mission shall commence within 2 minutes!!!

13:45:56 MH:Mission started!!!

13:45:56 MH:Diving initiated
13:45:56 MH:Diving in progress
13:45:56 MH:Diving in progress
13:45:57 MH:Diving in progress
13:45:58 MH:Diving in progress
13:45:59 MH:Diving in progress
13:46:00 MH:Diving in progress
13:46:01 MH:Diving in progress
13:46:02 MH:Diving in progress
13:46:03 MH:Diving in progress
13:46:04 MH:Diving in progress
13:46:05 MH:Diving in progress
13:46:06 MH:Diving in progress
13:46:07 MH:Diving in progress
13:46:08 MH:Diving in progress
13:46:09 MH:Diving in progress
13:46:10 MH:Diving in progress
13:46:11 MH:Diving in progress
13:46:12 MH:Diving in progress
13:46:13 MH:Diving in progress
13:46:14 MH:Diving in progress
13:46:15 MH:Diving in progress
13:46:16 MH:Diving in progress
13:46:17 MH:Diving in progress
13:46:18 MH:Diving in progress
13:46:19 MH:Diving in progress
13:46:20 MH:Diving in progress
13:46:21 MH:Diving in progress
13:46:22 MH:Diving in progress
13:46:23 MH:Diving in progress
13:46:24 MH:Diving in progress
13:46:25 MH:Diving in progress
13:46:26 MH:Diving in progress
13:46:27 MH:Diving in progress
13:46:28 MH:Diving in progress
13:46:29 MH:Diving in progress
13:46:30 MH:Diving in progress
13:46:31 MH:Diving in progress
13:46:32 MH:Diving in progress
13:46:33 MH:Diving in progress
13:46:34 MH:Diving in progress
13:46:35 MH:Diving in progress
13:46:36 MH:Diving in progress
13:46:37 MH:Diving in progress
13:46:38 MH:Diving in progress
13:46:39 MH:Diving in progress
13:46:40 MH:Diving in progress
13:46:41 MH:Diving in progress
13:46:42 MH:Diving in progress
13:46:43 MH:Diving in progress
13:46:44 MH:Diving in progress
13:46:45 MH:Diving in progress
13:46:46 MH:Diving in progress
13:46:47 MH:Diving in progress
13:46:48 MH:Diving in progress
13:46:49 MH:Diving in progress
13:46:50 MH:Diving in progress
13:46:51 MH:Diving in progress
13:46:52 MH:Diving in progress
13:46:53 MH:Diving in progress
13:46:54 MH:Diving in progress
13:46:55 MH:Diving in progress
13:46:56 MH:Diving in progress
13:46:57 MH:Diving in progress
13:46:58 MH:Diving in progress
13:46:59 MH:Diving in progress
13:47:00 MH:Diving in progress
13:47:01 MH:Diving in progress
13:47:02 MH:Diving in progress
13:47:03 MH:Diving in progress
13:47:04 MH:Diving in progress
13:47:05 MH:Diving in progress
13:47:06 MH:Diving in progress
13:47:07 MH:Diving in progress
13:47:08 MH:Diving in progress
13:47:09 MH:Diving in progress
13:47:10 MH:Diving in progress
13:47:11 MH:Diving in progress
13:47:12 MH:Diving in progress
13:47:13 MH:Diving in progress
13:47:14 MH:Diving in progress
13:47:15 MH:Diving in progress
13:47:16 MH:Diving in progress
13:47:17 MH:Diving in progress
13:47:18 MH:Diving in progress
13:47:19 MH:Diving in progress
13:47:20 MH:Diving in progress
13:47:21 MH:Diving in progress
13:47:22 MH:Diving in progress
13:47:23 MH:Diving in progress
13:47:24 MH:Diving in progress
13:47:25 MH:Diving in progress
13:47:26 MH:Diving in progress
13:47:27 MH:Diving in progress
13:47:28 MH:Diving in progress
13:47:29 MH:Diving in progress
13:47:30 MH:Diving in progress
13:47:31 MH:Diving in progress
13:47:32 MH:Diving in progress
13:47:33 MH:Diving in progress
13:47:34 MH:Diving in progress
13:47:35 MH:Diving in progress
13:47:36 MH:Diving in progress
13:47:37 MH:Diving in progress
13:47:38 MH:Diving in progress
13:47:39 MH:Diving in progress
13:47:40 MH:Diving in progress
13:47:41 MH:Diving in progress
13:47:42 MH:Diving in progress
13:47:43 MH:Diving in progress
13:47:44 MH:Diving in progress
13:47:45 MH:Diving in progress
13:47:46 MH:Diving in progress
13:47:47 MH:Diving in progress
13:47:48 MH:Diving in progress
13:47:49 MH:Diving in progress
13:47:50 MH:Diving in progress
13:47:51 MH:Diving in progress
13:47:52 MH:Diving in progress
13:47:53 MH:Diving in progress
13:47:54 MH:Diving in progress
13:47:55 MH:Diving in progress
13:47:56 MH:Diving in progress
13:47:57 MH:Diving in progress
13:47:58 MH:Diving in progress
13:47:59 MH:Diving in progress
13:48:00 MH:Diving in progress
13:48:01 MH:Diving in progress
13:48:02 MH:Diving in progress
13:48:03 MH:Diving in progress
13:48:04 MH:Diving in progress
13:48:05 MH:Diving in progress
13:48:06 MH:Diving in progress
13:48:07 MH:Diving in progress
13:48:08 MH:Diving in progress
13:48:09 MH:Diving in progress
13:48:10 MH:Diving in progress
13:48:11 MH:Diving in progress
13:48:12 MH:Diving in progress
13:48:13 MH:Diving in progress
13:48:14 MH:Diving in progress
13:48:15 MH:Diving in progress
13:48:16 MH:Diving in progress
13:48:17 MH:Diving in progress
13:48:18 MH:Diving in progress
13:48:19 MH:Diving in progress
13:48:20 MH:Diving in progress
13:48:21 MH:Diving in progress
13:48:22 MH:Diving in progress
13:48:23 MH:Diving in progress
13:48:24 MH:Diving in progress
13:48:25 MH:Diving in progress
