22:55:40 MH:Number of processors on the system: 2
22:55:40 MH:Configured as RealTime Process!!!
22:55:40 MH:Opened UTM coords file

22:55:40 MH:USB DA initialisation complete!!!
22:55:40 MH:TCP/IP DA initialisation complete!!!
22:55:40 MH:Device Initialization complete!!!
22:55:40 MH:PHINS initialized and data consistent!!!
22:55:41 MH:Pressure sensor data consistent!!!
22:55:42 MH:FLS device level configuration done!!!
22:55:42 MH:Sensor initialisation and data check complete!!!
22:55:42 MH:Mission file opened succesfully
22:55:42 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
22:55:42 MH:Mission ready to be started!!!
22:56:26 MH:Mission shall commence within 7 minutes!!!

22:57:26 MH:Mission started!!!

22:57:26 MH:Diving initiated
22:57:26 MH:Diving in progress
22:57:28 MH:Diving in progress
22:57:29 MH:Diving in progress
22:57:30 MH:Diving in progress
22:57:32 MH:Diving in progress
22:57:33 MH:Diving in progress
22:57:34 MH:Diving in progress
22:57:36 MH:Diving in progress
22:57:37 MH:Diving in progress
22:57:39 MH:Diving in progress
22:57:40 MH:Diving in progress
22:57:41 MH:Diving in progress
22:57:43 MH:Diving in progress
22:57:45 MH:Diving in progress
22:57:46 MH:Diving in progress
22:57:47 MH:Diving in progress
22:57:49 MH:Diving in progress
22:57:50 MH:Diving in progress
22:57:51 MH:Diving in progress
22:57:53 MH:Diving in progress
22:57:55 MH:Diving in progress
22:57:56 MH:Diving in progress
22:57:57 MH:Diving in progress
22:57:58 MH:Diving in progress
22:58:00 MH:Diving in progress
22:58:01 MH:Diving in progress
22:58:03 MH:Diving in progress
22:58:05 MH:Diving in progress
22:58:06 MH:Diving in progress
22:58:07 MH:Diving in progress
22:58:08 MH:Diving in progress
22:58:10 MH:Diving in progress
22:58:11 MH:Diving in progress
22:58:12 MH:Diving in progress
22:58:14 MH:Diving in progress
22:58:15 MH:Diving in progress
22:58:16 MH:Diving in progress
22:58:17 MH:Diving in progress
22:58:18 MH:Diving in progress
22:58:20 MH:Diving in progress
22:58:21 MH:Diving in progress
22:58:22 MH:Diving in progress
22:58:23 MH:Diving in progress
22:58:25 MH:Diving in progress
22:58:26 MH:Diving in progress
22:58:27 MH:Diving in progress
22:58:28 MH:Diving in progress
22:58:29 MH:Diving in progress
22:58:31 MH:Diving in progress
22:58:32 MH:Diving in progress
22:58:33 MH:Diving in progress
22:58:35 MH:Diving in progress
22:58:36 MH:Diving in progress
22:58:37 MH:Diving in progress
22:58:38 MH:Diving in progress
22:58:39 MH:Diving in progress
22:58:41 MH:Diving in progress
22:58:42 MH:Diving in progress
22:58:43 MH:Diving in progress
22:58:45 MH:Diving in progress
22:58:46 MH:Diving in progress
22:58:47 MH:Diving in progress
22:58:48 MH:Diving in progress
22:58:49 MH:Diving in progress
22:58:50 MH:Diving in progress
22:58:52 MH:Diving in progress
22:58:53 MH:Diving in progress
22:58:54 MH:Diving in progress
22:58:56 MH:Diving in progress
22:58:57 MH:Diving in progress
22:58:58 MH:Diving in progress
22:58:59 MH:Diving in progress
22:59:00 MH:Diving in progress
22:59:02 MH:Diving in progress
22:59:03 MH:Diving in progress
22:59:04 MH:Diving in progress
22:59:06 MH:Diving in progress
22:59:07 MH:Diving in progress
22:59:08 MH:Diving in progress
22:59:09 MH:Diving in progress
22:59:10 MH:Diving in progress
22:59:11 MH:Diving in progress
22:59:13 MH:Diving in progress
22:59:15 MH:Diving in progress
22:59:16 MH:Diving in progress
22:59:18 MH:Diving in progress
22:59:19 MH:Diving in progress
22:59:20 MH:Diving in progress
22:59:21 MH:Diving in progress
22:59:23 MH:Diving in progress
22:59:25 MH:Diving in progress
22:59:26 MH:Diving in progress
22:59:27 MH:Diving in progress
22:59:27 MH:Watchdog Timed Out
