14:18:37 MH:Number of processors on the system: 2
14:18:37 MH:Configured as RealTime Process!!!
14:18:37 MH:Opened UTM coords file

14:18:37 MH:USB DA initialisation complete!!!
14:18:37 MH:TCP/IP DA initialisation complete!!!
14:18:37 MH:Device Initialization complete!!!
14:18:37 MH:PHINS initialized and data consistent!!!
14:19:02 MH:Pressure sensor data consistent!!!
14:19:03 MH:FLS device level configuration done!!!
14:19:03 MH:Sensor initialisation and data check complete!!!
14:19:03 MH:Mission file opened succesfully
14:19:03 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
14:19:03 MH:Mission ready to be started!!!
14:19:32 CO:Mission Time: 60 Reference Depth: 80
14:24:19 MH:Mission shall commence within 8 minutes!!!

14:32:19 MH:Mission started!!!

14:32:19 MH:Diving initiated
14:32:19 MH:Diving in progress
14:32:21 MH:Diving in progress
14:32:22 MH:Diving in progress
14:32:23 MH:Diving in progress
14:32:25 MH:Diving in progress
14:32:26 MH:Diving in progress
14:32:28 MH:Diving in progress
14:32:29 MH:Diving in progress
14:32:31 MH:Diving in progress
14:32:32 MH:Diving in progress
14:32:34 MH:Diving in progress
14:32:35 MH:Diving in progress
14:32:37 MH:Diving in progress
14:32:39 MH:Diving in progress
14:32:40 MH:Diving in progress
14:32:42 MH:Diving in progress
14:32:43 MH:Diving in progress
14:32:45 MH:Diving in progress
14:32:46 MH:Diving in progress
14:32:48 MH:Diving in progress
14:32:50 MH:Diving in progress
14:32:51 MH:Diving in progress
14:32:53 MH:Diving in progress
14:32:54 MH:Diving in progress
14:32:56 MH:Diving in progress
14:32:57 MH:Diving in progress
14:32:59 MH:Diving in progress
14:33:00 MH:Diving in progress
14:33:02 MH:Diving in progress
14:33:04 MH:Diving in progress
14:33:05 MH:Diving in progress
14:33:07 MH:Diving in progress
14:33:08 MH:Diving in progress
14:33:10 MH:Diving in progress
14:33:11 MH:Diving in progress
14:33:13 MH:Diving in progress
14:33:14 MH:Diving in progress
14:33:16 MH:Diving in progress
14:33:18 MH:Diving in progress
14:33:19 MH:Diving in progress
14:33:21 MH:Diving in progress
14:33:22 MH:Diving in progress
14:33:24 MH:Diving in progress
14:33:25 MH:Diving in progress
14:33:27 MH:Diving in progress
14:33:28 MH:Diving in progress
14:33:30 MH:Diving in progress
14:33:32 MH:Diving in progress
14:33:33 MH:Diving in progress
14:33:35 MH:Diving in progress
14:33:36 MH:Diving in progress
14:33:38 MH:Diving in progress
14:33:39 MH:Diving in progress
14:33:41 MH:Diving in progress
14:33:42 MH:Diving in progress
14:33:44 MH:Diving in progress
14:33:45 MH:Diving in progress
14:33:47 MH:Diving in progress
14:33:49 MH:Diving in progress
14:33:50 MH:Diving in progress
14:33:52 MH:Diving in progress
14:33:53 MH:Diving in progress
14:33:55 MH:Diving in progress
14:33:56 MH:Diving in progress
14:33:58 MH:Diving in progress
14:33:59 MH:Diving in progress
14:34:01 MH:Diving in progress
14:34:03 MH:Diving in progress
14:34:04 MH:Diving in progress
14:34:06 MH:Diving in progress
14:34:08 MH:Diving in progress
14:34:09 MH:Diving in progress
14:34:10 MH:Diving in progress
14:34:12 MH:Diving in progress
14:34:14 MH:Diving in progress
14:34:16 MH:Diving in progress
14:34:17 MH:Diving in progress
14:34:19 MH:Diving in progress
14:34:20 MH:Diving in progress
14:34:22 MH:Diving in progress
14:34:23 MH:Diving in progress
14:34:25 MH:Diving in progress
14:34:26 MH:Diving in progress
14:34:28 MH:Diving in progress
14:34:29 MH:Diving in progress
14:34:31 MH:Diving in progress
14:34:33 MH:Diving in progress
14:34:34 MH:Diving in progress
14:34:36 MH:Diving in progress
14:34:37 MH:Diving in progress
14:34:39 MH:Diving in progress
14:34:40 MH:Diving in progress
14:34:42 MH:Diving in progress
14:34:43 MH:Diving in progress
14:34:45 MH:Diving in progress
14:34:46 MH:Diving in progress
14:34:48 MH:Diving in progress
14:34:50 MH:Diving in progress
14:34:51 MH:Diving in progress
14:34:53 MH:Diving in progress
14:34:54 MH:Diving in progress
14:34:56 MH:Diving in progress
14:34:57 MH:Diving in progress
14:34:59 MH:Diving in progress
14:35:00 MH:Diving in progress
14:35:02 MH:Diving in progress
14:35:04 MH:Diving in progress
14:35:05 MH:Diving in progress
14:35:07 MH:Diving in progress
14:35:08 MH:Diving in progress
14:35:10 MH:Diving in progress
14:35:11 MH:Diving in progress
14:35:13 MH:Diving in progress
14:35:14 MH:Diving in progress
14:35:16 MH:Diving in progress
14:35:17 MH:Diving in progress
14:35:19 MH:Diving in progress
14:35:21 MH:Diving in progress
14:35:22 MH:Diving in progress
14:35:24 MH:Diving in progress
14:35:25 MH:Diving in progress
14:35:27 MH:Diving in progress
14:35:28 MH:Diving in progress
14:35:30 MH:Diving in progress
14:35:31 MH:Diving in progress
14:35:33 MH:Diving in progress
14:35:35 MH:Diving in progress
14:35:36 MH:Diving in progress
14:35:38 MH:Diving in progress
14:35:39 MH:Diving in progress
14:35:41 MH:Diving in progress
14:35:42 MH:Diving in progress
14:35:44 MH:Diving in progress
14:35:45 MH:Diving in progress
14:35:47 MH:Diving in progress
14:35:49 MH:Diving in progress
14:35:50 MH:Diving in progress
14:35:52 MH:Diving in progress
14:35:53 MH:Diving in progress
14:35:55 MH:Diving in progress
14:35:56 MH:Diving in progress
14:35:58 MH:Diving in progress
14:36:01 MH:Diving in progress
14:36:03 MH:Diving in progress
14:36:04 MH:Diving in progress
14:36:06 MH:Diving in progress
14:36:07 MH:Diving in progress
14:36:09 MH:Diving in progress
14:36:10 MH:Diving in progress
14:36:12 MH:Diving in progress
14:36:13 MH:Diving in progress
14:36:15 MH:Diving in progress
14:36:16 MH:Diving in progress
14:36:18 MH:Diving in progress
14:36:19 MH:Diving in progress
14:36:21 MH:Diving in progress
14:36:23 MH:Diving in progress
14:36:24 MH:Diving in progress
14:36:26 MH:Diving in progress
14:36:28 MH:Diving in progress
14:36:29 MH:Diving in progress
14:36:30 MH:Diving in progress
14:36:32 MH:Diving in progress
14:36:33 MH:Diving in progress
14:36:35 MH:Diving in progress
14:36:37 MH:Diving in progress
14:36:38 MH:Diving in progress
14:36:40 MH:Diving in progress
14:36:41 MH:Diving in progress
14:36:43 MH:Diving in progress
14:36:44 MH:Diving in progress
14:36:46 MH:Diving in progress
14:36:47 MH:Diving in progress
14:36:49 MH:Diving in progress
14:36:51 MH:Diving in progress
14:36:52 MH:Diving in progress
14:36:54 MH:Diving in progress
14:36:55 MH:Diving in progress
14:36:57 MH:Diving in progress
14:36:58 MH:Diving in progress
14:37:00 MH:Diving in progress
14:37:02 MH:Diving in progress
14:37:03 MH:Diving in progress
14:37:05 MH:Diving in progress
14:37:06 MH:Diving in progress
14:37:08 MH:Diving in progress
14:37:09 MH:Diving in progress
14:37:11 MH:Diving in progress
14:37:13 MH:Diving in progress
14:37:14 MH:Diving in progress
14:37:16 MH:Diving in progress
14:37:17 MH:Diving in progress
14:37:19 MH:Diving in progress
14:37:21 MH:Diving in progress
14:37:22 MH:Diving in progress
14:37:24 MH:Diving in progress
14:37:25 MH:Diving in progress
14:37:27 MH:Diving in progress
14:37:28 MH:Diving in progress
14:37:30 MH:Diving in progress
14:37:31 MH:Diving in progress
14:37:33 MH:Diving in progress
14:37:35 MH:Diving in progress
14:37:36 MH:Diving in progress
14:37:38 MH:Diving in progress
14:37:39 MH:Diving in progress
14:37:41 MH:Diving in progress
14:37:42 MH:Diving in progress
14:37:44 MH:Diving in progress
14:37:46 MH:Diving in progress
14:37:47 MH:Diving in progress
14:37:49 MH:Diving in progress
14:37:59 MH:Desired Depth Correction Achieved
14:37:59 MH:Initiated XY Operation
14:37:59 MH:Read trajectory segment
