17:33:53 MH:Number of processors on the system: 2
17:33:53 MH:Configured as RealTime Process!!!
17:33:53 MH:Opened UTM coords file

17:33:53 MH:USB DA initialisation complete!!!
17:33:53 MH:TCP/IP DA initialisation complete!!!
17:33:53 MH:Device Initialization complete!!!
17:33:54 MH:PHINS initialized and data consistent!!!
17:33:54 MH:Pressure sensor data consistent!!!
17:33:56 MH:FLS device level configuration done!!!
17:33:56 MH:Sensor initialisation and data check complete!!!
17:33:56 MH:Mission file opened succesfully
17:33:56 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
17:33:56 MH:Mission ready to be started!!!
17:37:26 MH:Mission shall commence within 7 minutes!!!

17:44:26 MH:Mission started!!!

17:44:26 MH:Diving initiated
17:44:26 MH:Diving in progress
17:44:27 MH:Diving in progress
17:44:29 MH:Diving in progress
17:44:30 MH:Diving in progress
17:44:31 MH:Diving in progress
17:44:32 MH:Diving in progress
17:44:33 MH:Diving in progress
17:44:35 MH:Diving in progress
17:44:36 MH:Diving in progress
17:44:37 MH:Diving in progress
17:44:38 MH:Diving in progress
17:44:39 MH:Diving in progress
17:44:41 MH:Diving in progress
17:44:42 MH:Diving in progress
17:44:43 MH:Diving in progress
17:44:44 MH:Diving in progress
17:44:45 MH:Diving in progress
17:44:47 MH:Diving in progress
17:44:48 MH:Diving in progress
17:44:49 MH:Diving in progress
17:44:50 MH:Diving in progress
17:44:51 MH:Diving in progress
17:44:53 MH:Diving in progress
17:44:54 MH:Diving in progress
17:44:55 MH:Diving in progress
17:44:56 MH:Diving in progress
17:44:57 MH:Diving in progress
17:44:59 MH:Diving in progress
17:45:00 MH:Diving in progress
17:45:01 MH:Diving in progress
17:45:02 MH:Diving in progress
17:45:03 MH:Diving in progress
17:45:05 MH:Diving in progress
17:45:06 MH:Diving in progress
17:45:07 MH:Diving in progress
17:45:08 MH:Diving in progress
17:45:09 MH:Diving in progress
17:45:11 MH:Diving in progress
17:45:12 MH:Diving in progress
17:45:13 MH:Diving in progress
17:45:14 MH:Diving in progress
17:45:15 MH:Diving in progress
17:45:17 MH:Diving in progress
17:45:18 MH:Diving in progress
17:45:19 MH:Diving in progress
17:45:20 MH:Diving in progress
17:45:21 MH:Diving in progress
17:45:23 MH:Diving in progress
17:45:24 MH:Diving in progress
17:45:25 MH:Diving in progress
17:45:26 MH:Diving in progress
17:45:27 MH:Diving in progress
17:45:29 MH:Diving in progress
17:45:30 MH:Diving in progress
17:45:31 MH:Diving in progress
17:45:32 MH:Diving in progress
17:45:33 MH:Diving in progress
17:45:35 MH:Diving in progress
17:45:36 MH:Diving in progress
17:45:37 MH:Diving in progress
17:45:38 MH:Diving in progress
17:45:39 MH:Diving in progress
17:45:41 MH:Diving in progress
17:45:42 MH:Diving in progress
17:45:43 MH:Diving in progress
17:45:44 MH:Diving in progress
17:45:45 MH:Diving in progress
17:45:47 MH:Diving in progress
17:45:48 MH:Diving in progress
17:45:49 MH:Diving in progress
17:45:50 MH:Diving in progress
17:45:51 MH:Diving in progress
17:45:53 MH:Diving in progress
17:45:54 MH:Diving in progress
17:45:55 MH:Diving in progress
17:45:56 MH:Diving in progress
17:45:57 MH:Diving in progress
17:45:59 MH:Diving in progress
17:46:00 MH:Diving in progress
17:46:01 MH:Diving in progress
17:46:02 MH:Diving in progress
17:46:03 MH:Diving in progress
17:46:05 MH:Diving in progress
17:46:06 MH:Diving in progress
17:46:07 MH:Diving in progress
17:46:08 MH:Diving in progress
17:46:09 MH:Diving in progress
17:46:11 MH:Diving in progress
17:46:12 MH:Diving in progress
17:46:13 MH:Diving in progress
17:46:14 MH:Diving in progress
17:46:15 MH:Diving in progress
17:46:17 MH:Diving in progress
17:46:18 MH:Diving in progress
17:46:19 MH:Diving in progress
17:46:20 MH:Diving in progress
17:46:21 MH:Diving in progress
17:46:23 MH:Diving in progress
17:46:24 MH:Diving in progress
17:46:25 MH:Diving in progress
17:46:26 MH:Diving in progress
17:46:27 MH:Diving in progress
17:46:29 MH:Diving in progress
17:46:30 MH:Diving in progress
17:46:31 MH:Diving in progress
17:46:32 MH:Diving in progress
17:46:33 MH:Diving in progress
17:46:35 MH:Diving in progress
17:46:36 MH:Diving in progress
17:46:37 MH:Diving in progress
17:46:38 MH:Diving in progress
17:46:39 MH:Diving in progress
17:46:41 MH:Diving in progress
17:46:42 MH:Diving in progress
17:46:43 MH:Diving in progress
17:46:44 MH:Diving in progress
17:46:45 MH:Diving in progress
17:46:47 MH:Diving in progress
17:46:48 MH:Diving in progress
17:46:49 MH:Diving in progress
17:46:50 MH:Diving in progress
17:46:51 MH:Diving in progress
17:46:53 MH:Diving in progress
17:46:54 MH:Diving in progress
17:46:55 MH:Diving in progress
17:46:56 MH:Diving in progress
17:46:57 MH:Diving in progress
17:46:59 MH:Diving in progress
17:47:00 MH:Diving in progress
17:47:01 MH:Diving in progress
17:47:02 MH:Diving in progress
17:47:03 MH:Diving in progress
17:47:05 MH:Diving in progress
17:47:06 MH:Diving in progress
17:47:07 MH:Diving in progress
17:47:08 MH:Diving in progress
17:47:09 MH:Diving in progress
17:47:11 MH:Diving in progress
17:47:12 MH:Diving in progress
17:47:13 MH:Diving in progress
17:47:14 MH:Diving in progress
17:47:15 MH:Diving in progress
17:47:17 MH:Diving in progress
17:47:18 MH:Diving in progress
17:47:19 MH:Diving in progress
17:47:20 MH:Diving in progress
17:47:21 MH:Diving in progress
17:47:23 MH:Diving in progress
17:47:24 MH:Diving in progress
17:47:25 MH:Diving in progress
17:47:26 MH:Diving in progress
17:47:27 MH:Diving in progress
17:47:29 MH:Diving in progress
17:47:30 MH:Diving in progress
17:47:31 MH:Diving in progress
17:47:32 MH:Diving in progress
17:47:33 MH:Diving in progress
17:47:35 MH:Diving in progress
17:47:36 MH:Diving in progress
17:47:37 MH:Diving in progress
17:47:38 MH:Diving in progress
17:47:39 MH:Diving in progress
17:47:41 MH:Diving in progress
17:47:42 MH:Diving in progress
17:47:43 MH:Diving in progress
17:47:44 MH:Diving in progress
17:47:45 MH:Diving in progress
17:47:47 MH:Diving in progress
17:47:48 MH:Diving in progress
17:47:49 MH:Diving in progress
17:47:50 MH:Diving in progress
17:47:51 MH:Diving in progress
17:47:53 MH:Diving in progress
17:47:54 MH:Diving in progress
17:47:55 MH:Diving in progress
17:47:56 MH:Diving in progress
17:47:57 MH:Diving in progress
17:47:59 MH:Diving in progress
17:48:00 MH:Diving in progress
17:48:01 MH:Diving in progress
17:48:02 MH:Diving in progress
17:48:03 MH:Diving in progress
17:48:05 MH:Diving in progress
17:48:06 MH:Diving in progress
17:48:07 MH:Diving in progress
17:48:08 MH:Diving in progress
17:48:09 MH:Diving in progress
17:48:11 MH:Diving in progress
17:48:12 MH:Diving in progress
17:48:13 MH:Diving in progress
17:48:14 MH:Diving in progress
17:48:15 MH:Diving in progress
17:48:17 MH:Diving in progress
17:48:18 MH:Diving in progress
17:48:19 MH:Diving in progress
17:48:20 MH:Diving in progress
17:48:21 MH:Diving in progress
17:48:23 MH:Diving in progress
17:48:24 MH:Diving in progress
17:48:25 MH:Diving in progress
17:48:26 MH:Diving in progress
17:48:27 MH:Diving in progress
17:48:29 MH:Diving in progress
17:48:30 MH:Diving in progress
17:48:31 MH:Diving in progress
17:48:32 MH:Diving in progress
17:48:33 MH:Diving in progress
17:48:35 MH:Diving in progress
17:48:36 MH:Diving in progress
17:48:37 MH:Diving in progress
17:48:38 MH:Diving in progress
17:48:39 MH:Diving in progress
17:48:41 MH:Diving in progress
17:48:42 MH:Diving in progress
17:48:43 MH:Diving in progress
17:48:44 MH:Diving in progress
17:48:45 MH:Diving in progress
17:48:47 MH:Diving in progress
17:48:48 MH:Diving in progress
17:48:49 MH:Diving in progress
17:48:50 MH:Diving in progress
17:48:51 MH:Diving in progress
17:48:53 MH:Diving in progress
17:48:54 MH:Diving in progress
17:48:55 MH:Diving in progress
17:48:56 MH:Diving in progress
17:48:57 MH:Diving in progress
17:48:59 MH:Diving in progress
17:49:00 MH:Diving in progress
17:49:01 MH:Diving in progress
17:49:02 MH:Diving in progress
17:49:03 MH:Diving in progress
17:49:05 MH:Diving in progress
17:49:06 MH:Diving in progress
17:49:07 MH:Diving in progress
17:49:08 MH:Diving in progress
17:49:09 MH:Diving in progress
17:49:11 MH:Diving in progress
17:49:12 MH:Diving in progress
17:49:13 MH:Diving in progress
17:49:14 MH:Diving in progress
17:49:15 MH:Diving in progress
17:49:17 MH:Diving in progress
17:49:18 MH:Diving in progress
17:49:19 MH:Diving in progress
17:49:20 MH:Diving in progress
17:49:21 MH:Diving in progress
17:49:23 MH:Diving in progress
17:49:24 MH:Diving in progress
17:49:25 MH:Diving in progress
17:49:26 MH:Diving in progress
17:49:27 MH:Diving in progress
17:49:29 MH:Diving in progress
17:49:30 MH:Diving in progress
17:49:31 MH:Diving in progress
17:49:32 MH:Diving in progress
17:49:33 MH:Diving in progress
17:49:35 MH:Diving in progress
17:49:36 MH:Diving in progress
