22:05:53 MH:Number of processors on the system: 2
22:05:53 MH:Configured as RealTime Process!!!
22:05:53 MH:Opened UTM coords file

22:05:53 MH:USB DA initialisation complete!!!
22:05:53 MH:TCP/IP DA initialisation complete!!!
22:05:53 MH:Device Initialization complete!!!
22:05:53 MH:PHINS initialized and data consistent!!!
22:05:54 MH:Pressure sensor data consistent!!!
22:05:55 MH:FLS device level configuration done!!!
22:05:55 MH:Sensor initialisation and data check complete!!!
22:05:55 MH:Mission file opened succesfully
22:05:55 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
22:05:55 MH:Mission ready to be started!!!
22:06:20 MH:Mission started!!!

22:06:20 MH:Diving initiated
22:06:20 MH:Diving in progress
22:06:21 MH:Diving in progress
22:06:22 MH:Diving in progress
22:06:23 MH:Diving in progress
22:06:23 MH:Diving in progress
22:06:24 MH:Diving in progress
22:06:25 MH:Diving in progress
22:06:26 MH:Diving in progress
22:06:26 MH:Diving in progress
22:06:27 MH:Diving in progress
22:06:28 MH:Diving in progress
22:06:28 MH:Diving in progress
22:06:29 MH:Diving in progress
22:06:30 MH:Diving in progress
22:06:31 MH:Diving in progress
22:06:31 MH:Diving in progress
22:06:32 MH:Diving in progress
22:06:33 MH:Diving in progress
22:06:34 MH:Diving in progress
22:06:34 MH:Diving in progress
22:06:35 MH:Diving in progress
22:06:36 MH:Diving in progress
22:06:37 MH:Diving in progress
22:06:37 MH:Diving in progress
22:06:38 MH:Diving in progress
22:06:39 MH:Diving in progress
22:06:40 MH:Diving in progress
22:06:40 MH:Diving in progress
22:06:41 MH:Diving in progress
22:06:42 MH:Diving in progress
22:06:43 MH:Diving in progress
22:06:43 MH:Diving in progress
22:06:44 MH:Diving in progress
22:06:45 MH:Diving in progress
22:06:45 MH:Diving in progress
22:06:46 MH:Diving in progress
22:06:47 MH:Diving in progress
22:06:48 MH:Diving in progress
22:06:48 MH:Diving in progress
22:06:49 MH:Diving in progress
22:06:50 MH:Diving in progress
22:06:51 MH:Diving in progress
22:06:51 MH:Diving in progress
22:06:52 MH:Diving in progress
22:06:53 MH:Diving in progress
22:06:54 MH:Diving in progress
22:06:54 MH:Diving in progress
22:06:55 MH:Diving in progress
22:06:56 MH:Diving in progress
22:06:57 MH:Diving in progress
22:06:57 MH:Diving in progress
22:06:58 MH:Diving in progress
22:06:59 MH:Diving in progress
22:06:59 MH:Diving in progress
22:07:00 MH:Diving in progress
22:07:01 MH:Diving in progress
22:07:02 MH:Diving in progress
22:07:02 MH:Diving in progress
22:07:03 MH:Diving in progress
22:07:04 MH:Diving in progress
22:07:05 MH:Diving in progress
22:07:05 MH:Diving in progress
22:07:06 MH:Diving in progress
22:07:07 MH:Diving in progress
22:07:08 MH:Diving in progress
22:07:08 MH:Diving in progress
22:07:09 MH:Diving in progress
22:07:10 MH:Diving in progress
22:07:11 MH:Diving in progress
22:07:11 MH:Diving in progress
22:07:12 MH:Diving in progress
22:07:13 MH:Diving in progress
22:07:13 MH:Diving in progress
22:07:14 MH:Diving in progress
22:07:15 MH:Diving in progress
22:07:16 MH:Diving in progress
22:07:16 MH:Diving in progress
22:07:17 MH:Diving in progress
22:07:18 MH:Diving in progress
22:07:19 MH:Diving in progress
22:07:19 MH:Diving in progress
22:07:20 MH:Diving in progress
22:07:21 MH:Diving in progress
22:07:22 MH:Diving in progress
22:07:22 MH:Diving in progress
22:07:23 MH:Diving in progress
22:07:24 MH:Diving in progress
22:07:25 MH:Diving in progress
22:07:25 MH:Diving in progress
22:07:26 MH:Diving in progress
22:07:27 MH:Diving in progress
22:07:28 MH:Diving in progress
22:07:28 MH:Diving in progress
22:07:29 MH:Diving in progress
22:07:30 MH:Diving in progress
22:07:30 MH:Diving in progress
22:07:31 MH:Diving in progress
22:07:32 MH:Diving in progress
22:07:33 MH:Diving in progress
22:07:33 MH:Diving in progress
22:07:34 MH:Diving in progress
22:07:35 MH:Diving in progress
22:07:36 MH:Diving in progress
