12:08:16 MH:Number of processors on the system: 2
12:08:16 MH:Configured as RealTime Process!!!
12:08:16 MH:Opened UTM coords file

12:08:16 MH:USB DA initialisation complete!!!
12:08:16 MH:TCP/IP DA initialisation complete!!!
12:08:16 MH:Device Initialization complete!!!
12:08:17 MH:PHINS initialized and data consistent!!!
12:08:17 MH:Pressure sensor data consistent!!!
12:08:18 MH:FLS device level configuration done!!!
12:08:18 MH:Sensor initialisation and data check complete!!!
12:08:18 MH:Mission file opened succesfully
12:08:18 MH:Ready to send post-launching information: Altimetry and Position to Surface!!!
12:08:18 MH:Mission ready to be started!!!
12:09:00 CO:Mission Time: 40 Reference Depth: 120
12:17:35 MH:Mission shall commence within 7 minutes!!!

12:24:35 MH:Mission started!!!

12:24:35 MH:Diving initiated
12:24:35 MH:Diving in progress
12:24:36 MH:Diving in progress
12:24:37 MH:Diving in progress
12:24:39 MH:Diving in progress
12:24:40 MH:Diving in progress
12:24:41 MH:Diving in progress
12:24:43 MH:Diving in progress
12:24:44 MH:Diving in progress
12:24:46 MH:Diving in progress
12:24:47 MH:Diving in progress
12:24:48 MH:Diving in progress
12:24:49 MH:Diving in progress
12:24:50 MH:Diving in progress
12:24:51 MH:Diving in progress
12:24:53 MH:Diving in progress
12:24:54 MH:Diving in progress
12:24:56 MH:Diving in progress
12:24:57 MH:Diving in progress
12:24:58 MH:Diving in progress
12:24:59 MH:Diving in progress
12:25:00 MH:Diving in progress
12:25:01 MH:Diving in progress
12:25:03 MH:Diving in progress
12:25:04 MH:Diving in progress
12:25:06 MH:Diving in progress
12:25:07 MH:Diving in progress
12:25:08 MH:Diving in progress
12:25:10 MH:Diving in progress
12:25:11 MH:Diving in progress
12:25:13 MH:Diving in progress
12:25:14 MH:Diving in progress
12:25:16 MH:Diving in progress
12:25:17 MH:Diving in progress
12:25:18 MH:Diving in progress
12:25:20 MH:Diving in progress
12:25:21 MH:Diving in progress
12:25:23 MH:Diving in progress
12:25:24 MH:Diving in progress
12:25:26 MH:Diving in progress
12:25:27 MH:Diving in progress
12:25:28 MH:Diving in progress
12:25:30 MH:Diving in progress
12:25:31 MH:Diving in progress
12:25:32 MH:Diving in progress
12:25:34 MH:Diving in progress
12:25:36 MH:Diving in progress
12:25:37 MH:Diving in progress
12:25:38 MH:Diving in progress
12:25:39 MH:Diving in progress
12:25:41 MH:Diving in progress
12:25:42 MH:Diving in progress
12:25:44 MH:Diving in progress
12:25:45 MH:Diving in progress
12:25:46 MH:Diving in progress
12:25:47 MH:Diving in progress
12:25:48 MH:Diving in progress
12:25:49 MH:Diving in progress
12:25:51 MH:Diving in progress
12:25:52 MH:Diving in progress
12:25:54 MH:Diving in progress
12:25:55 MH:Diving in progress
12:25:56 MH:Diving in progress
12:25:57 MH:Diving in progress
12:25:58 MH:Diving in progress
12:25:59 MH:Diving in progress
12:26:01 MH:Diving in progress
12:26:02 MH:Diving in progress
12:26:03 MH:Diving in progress
12:26:05 MH:Diving in progress
12:26:06 MH:Diving in progress
12:26:07 MH:Diving in progress
12:26:08 MH:Diving in progress
12:26:09 MH:Diving in progress
12:26:11 MH:Diving in progress
12:26:12 MH:Diving in progress
12:26:13 MH:Diving in progress
12:26:15 MH:Diving in progress
12:26:16 MH:Diving in progress
12:26:17 MH:Diving in progress
12:26:18 MH:Diving in progress
12:26:19 MH:Diving in progress
12:26:20 MH:Diving in progress
12:26:22 MH:Diving in progress
12:26:23 MH:Diving in progress
12:26:25 MH:Diving in progress
12:26:26 MH:Diving in progress
12:26:27 MH:Diving in progress
12:26:28 MH:Diving in progress
12:26:29 MH:Diving in progress
12:26:31 MH:Diving in progress
12:26:32 MH:Diving in progress
12:26:34 MH:Diving in progress
12:26:35 MH:Diving in progress
12:26:37 MH:Diving in progress
12:26:38 MH:Diving in progress
12:26:39 MH:Diving in progress
12:26:41 MH:Diving in progress
12:26:42 MH:Diving in progress
12:26:44 MH:Diving in progress
12:26:45 MH:Diving in progress
12:26:47 MH:Diving in progress
12:26:48 MH:Diving in progress
12:26:49 MH:Diving in progress
12:26:51 MH:Diving in progress
12:26:52 MH:Diving in progress
12:26:54 MH:Diving in progress
12:26:55 MH:Diving in progress
12:26:56 MH:Diving in progress
12:26:58 MH:Diving in progress
12:26:59 MH:Diving in progress
12:27:01 MH:Diving in progress
12:27:02 MH:Diving in progress
12:27:04 MH:Diving in progress
12:27:05 MH:Diving in progress
12:27:06 MH:Diving in progress
12:27:08 MH:Diving in progress
12:27:09 MH:Diving in progress
12:27:11 MH:Diving in progress
12:27:12 MH:Diving in progress
12:27:13 MH:Diving in progress
12:27:15 MH:Diving in progress
12:27:16 MH:Diving in progress
12:27:18 MH:Diving in progress
12:27:19 MH:Diving in progress
12:27:21 MH:Diving in progress
12:27:22 MH:Diving in progress
12:27:23 MH:Diving in progress
12:27:24 MH:Diving in progress
12:27:26 MH:Diving in progress
12:27:27 MH:Diving in progress
12:27:28 MH:Diving in progress
12:27:30 MH:Diving in progress
12:27:31 MH:Diving in progress
12:27:33 MH:Diving in progress
12:27:34 MH:Diving in progress
12:27:36 MH:Diving in progress
12:27:37 MH:Diving in progress
12:27:39 MH:Diving in progress
12:27:40 MH:Diving in progress
12:27:41 MH:Diving in progress
12:27:43 MH:Diving in progress
12:27:44 MH:Diving in progress
12:27:46 MH:Diving in progress
12:27:47 MH:Diving in progress
12:27:49 MH:Diving in progress
12:27:50 MH:Diving in progress
12:27:52 MH:Diving in progress
12:27:53 MH:Diving in progress
12:27:55 MH:Diving in progress
12:27:56 MH:Diving in progress
12:27:58 MH:Diving in progress
12:27:59 MH:Diving in progress
12:28:01 MH:Diving in progress
12:28:02 MH:Diving in progress
12:28:04 MH:Diving in progress
12:28:05 MH:Diving in progress
12:28:07 MH:Diving in progress
12:28:08 MH:Diving in progress
12:28:10 MH:Diving in progress
12:28:11 MH:Diving in progress
12:28:13 MH:Diving in progress
12:28:14 MH:Diving in progress
12:28:16 MH:Diving in progress
12:28:17 MH:Diving in progress
12:28:19 MH:Diving in progress
12:28:20 MH:Diving in progress
12:28:22 MH:Diving in progress
12:28:23 MH:Diving in progress
12:28:25 MH:Diving in progress
12:28:26 MH:Diving in progress
12:28:28 MH:Diving in progress
12:28:29 MH:Diving in progress
12:28:31 MH:Diving in progress
12:28:32 MH:Diving in progress
12:28:34 MH:Diving in progress
12:28:35 MH:Diving in progress
12:28:37 MH:Diving in progress
12:28:38 MH:Diving in progress
12:28:40 MH:Diving in progress
12:28:41 MH:Diving in progress
12:28:43 MH:Diving in progress
12:28:44 MH:Diving in progress
12:28:46 MH:Diving in progress
12:28:47 MH:Diving in progress
12:28:49 MH:Diving in progress
12:28:50 MH:Diving in progress
12:28:52 MH:Diving in progress
12:28:53 MH:Diving in progress
12:28:55 MH:Diving in progress
12:28:56 MH:Diving in progress
12:28:58 MH:Diving in progress
12:28:59 MH:Diving in progress
12:29:01 MH:Diving in progress
12:29:02 MH:Diving in progress
12:29:04 MH:Diving in progress
12:29:05 MH:Diving in progress
12:29:07 MH:Diving in progress
12:29:09 MH:Diving in progress
12:29:10 MH:Diving in progress
12:29:12 MH:Diving in progress
12:29:13 MH:Diving in progress
12:29:15 MH:Diving in progress
12:29:16 MH:Diving in progress
12:29:18 MH:Diving in progress
12:29:19 MH:Diving in progress
12:29:21 MH:Diving in progress
12:29:22 MH:Diving in progress
12:29:24 MH:Diving in progress
12:29:25 MH:Diving in progress
12:29:27 MH:Diving in progress
12:29:29 MH:Diving in progress
12:29:30 MH:Diving in progress
12:29:32 MH:Diving in progress
12:29:33 MH:Diving in progress
12:29:35 MH:Diving in progress
12:29:36 MH:Diving in progress
12:29:38 MH:Diving in progress
12:29:39 MH:Diving in progress
12:29:41 MH:Diving in progress
12:29:42 MH:Diving in progress
12:29:44 MH:Diving in progress
12:29:46 MH:Diving in progress
12:29:47 MH:Diving in progress
12:29:49 MH:Diving in progress
12:29:50 MH:Diving in progress
12:29:52 MH:Diving in progress
12:29:53 MH:Diving in progress
12:29:55 MH:Diving in progress
12:29:56 MH:Diving in progress
12:29:58 MH:Diving in progress
12:29:59 MH:Diving in progress
12:30:01 MH:Diving in progress
12:30:02 MH:Diving in progress
12:30:04 MH:Diving in progress
12:30:05 MH:Diving in progress
12:30:07 MH:Diving in progress
12:30:08 MH:Diving in progress
12:30:10 MH:Diving in progress
12:30:12 MH:Diving in progress
12:30:13 MH:Diving in progress
12:30:15 MH:Diving in progress
12:30:16 MH:Diving in progress
12:30:18 MH:Diving in progress
12:30:19 MH:Diving in progress
12:30:21 MH:Diving in progress
12:30:22 MH:Diving in progress
12:30:24 MH:Diving in progress
12:30:25 MH:Diving in progress
12:30:27 MH:Diving in progress
12:30:29 MH:Diving in progress
12:30:30 MH:Diving in progress
12:30:32 MH:Diving in progress
12:30:33 MH:Diving in progress
12:30:35 MH:Diving in progress
12:30:36 MH:Diving in progress
12:30:38 MH:Diving in progress
12:30:39 MH:Diving in progress
12:30:41 MH:Diving in progress
12:30:42 MH:Diving in progress
12:30:44 MH:Diving in progress
12:30:46 MH:Diving in progress
12:30:47 MH:Diving in progress
12:30:49 MH:Diving in progress
12:30:50 MH:Diving in progress
12:30:52 MH:Diving in progress
